Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2018,"ATL",6251,0.08174692,0.206366981,0.396124031,0.256718022,0.324089003,0.417413113,0.741502116,0.160695091,0.302403846,747.2028762731131,16.891428071575902,0.3188998377658542,95.9974407579497
2018,"CHC",6369,0.090438059,0.217930601,0.41498559,0.258357041,0.333175205,0.410384068,0.743559273,0.152027027,0.312515188,771.338209991505,27.240687419822013,0.32064890146103076,100.18516770293398
2018,"CIN",6240,0.089583333,0.22051282,0.40625,0.253796095,0.327572282,0.401482284,0.729054566,0.147686189,0.306543916,736.3712819930291,7.3449763175224945,0.31689097789915605,94.44573314425625
2018,"COL",6178,0.082065393,0.226124959,0.362920544,0.255910485,0.322033898,0.435300487,0.757334385,0.179390002,0.304205489,769.0679301561825,47.28515508193876,0.32492288348908577,88.31154843353451
2018,"MIA",6083,0.074798619,0.227519316,0.328757225,0.237427113,0.302794774,0.356596209,0.659390983,0.119169096,0.293236835,580.4688853802069,-130.21493151468195,0.2890190913261042,83.45219727785734
2018,"HOU",6146,0.09192971,0.19476082,0.472013366,0.254905556,0.329196603,0.425270493,0.754467096,0.170364937,0.28930664,777.7251690291364,59.68099039425437,0.3265826866628692,109.78415102705307
2018,"LAD",6358,0.10176156,0.225857187,0.450557103,0.250179468,0.33264757,0.441672648,0.774320218,0.19149318,0.294162436,830.4581381986399,87.64575815298737,0.33261783449549454,111.3588433068122
2018,"MIL",6210,0.086473429,0.234782608,0.368312757,0.252255503,0.322596309,0.424395525,0.746991834,0.172140022,0.302022011,759.9339181082371,34.41254659463173,0.32215914669426343,99.94810876270067
2018,"WSN",6288,0.100349872,0.204993638,0.489526764,0.254123617,0.334880742,0.41852456,0.753405302,0.164400943,0.297032131,786.1404968882946,51.50629655374568,0.3252910632556483,100.84317769261807
2018,"NYM",6177,0.091630241,0.227294803,0.403133903,0.23445501,0.312408521,0.388624725,0.701033246,0.154169715,0.282520325,669.3659693471043,-52.29997458840913,0.30468034273314826,93.99609225027959
2018,"PHI",6136,0.094850065,0.247718383,0.382894736,0.234144542,0.313995411,0.392514749,0.70651016,0.158370207,0.289066666,676.4716674566245,-40.404199790956966,0.30736136161469807,90.53664518369203
